Last Name,First Name,Position,Overall,Salary,Team,Year,Projected Salary,Difference,Standard Difference,Percent Difference
McCray,Lerentee,OLB,71.0,800.0,GB,2016.0,1378.5835,-578.5835,0.524684755788,0.419694200605
Barclay,Don,RT,65.0,700.0,GB,2016.0,579.4151,120.5849,-1.47291923309,-0.208114873085
Boone,Alex,G,81.0,6700.0,MIN,2016.0,4326.66205,2373.33795,-0.780177911549,-0.548537861884
Lamur,Emmanuel,OLB,72.0,2750.0,MIN,2016.0,1645.171,1104.829,-0.66793859699,-0.671558761977
Sherels,Marcus,CB,69.0,2000.0,MIN,2016.0,975.385616438,1024.61438356,-1.39437850978,-1.05047108169
Smith,Andre,RT,77.0,3500.0,MIN,2016.0,3924.425,-424.425,0.205795692836,0.108149601534
Greenway,Chad,OLB,78.0,2750.0,MIN,2016.0,2926.76911429,-176.769114286,0.0765492430686,0.0603973553715
Newman,Terence,CB,80.0,2500.0,MIN,2016.0,4044.17851724,-1544.17851724,0.468000039272,0.381827486264
Harris,Mike,G,74.0,2000.0,MIN,2016.0,2111.71905882,-111.719058824,0.0623258279887,0.052904319046
Ellison,Rhett,TE,72.0,1750.0,MIN,2016.0,1279.49034211,470.509657895,-0.474905236114,-0.367732090201
Asiata,Matt,RB,73.0,840.0,MIN,2016.0,853.40445283,-13.4044528302,0.0330772935326,0.0157070340865
Trattou,Justin,DE,65.0,810.0,MIN,2016.0,898.870833333,-88.8708333333,0.079391427975,0.0988694148677
Hillman,Ronnie,RB,76.0,760.0,MIN,2016.0,1116.00728889,-356.007288889,0.442533649754,0.319000863555
Mack,Alex,C,84.0,9000.0,ATL,2016.0,6170.8333,2829.1667,-1.02973911323,-0.45847401193
Sanu,Mohamed,WR,77.0,6500.0,ATL,2016.0,2839.56746341,3660.43253659,-1.65905774608,-1.2890810251
Shelby,Derrick,DE,72.0,4500.0,ATL,2016.0,1739.90090909,2760.09909091,-2.33012121431,-1.58635418631
Clayborn,Adrian,DE,77.0,4250.0,ATL,2016.0,3292.30362069,957.69637931,-0.411975007167,-0.290889446919
Schaub,Matt,QB,70.0,2750.0,ATL,2016.0,2055.088,694.912,-0.409615479426,-0.338142210942
Chester,Chris,G,78.0,2350.0,ATL,2016.0,4329.68655,-1979.68655,0.747451936077,0.457235535907
Weatherspoon,Sean,ILB,73.0,1500.0,ATL,2016.0,1584.5697,-84.5697,0.062376546652,0.0533707668397
Upshaw,Courtney,OLB,78.0,1250.0,ATL,2016.0,2926.76911429,-1676.76911429,0.726118966077,0.572907888805
Wheeler,Philip,OLB,74.0,965.0,ATL,2016.0,2339.65994595,-1374.65994595,0.775645577709,0.587546898996
Harris,Bryce,RT,73.0,820.0,ATL,2016.0,1695.50891667,-875.508916667,0.694281291729,0.516369396858
Compton,Tom,G,73.0,785.0,ATL,2016.0,2034.47102778,-1249.47102778,0.6968941326,0.614150317561
