Last Name,First Name,Position,Average Salary,Team
Jones,Jacoby,WR,3500000,HOU
Cushing,Brian,ILB,3180000,HOU
Smith,Wade,G,3000000,HOU
Cody,Shaun,DT,2875000,HOU
Watt,J.J.,DE,2809375,HOU
Myers,Chris,C,2750000,HOU
Leinart,Matt,QB,2750000,HOU
Jackson,Kareem,CB,2704000,HOU
Brown,Duane,LT,2280000,HOU
Rackers,Neil,K,2050000,HOU
Mason,Derrick,WR,1905000,HOU
Butler,Rashad,LT,1900000,HOU
Brisiel,Mike,G,1835000,HOU
Ward,Derrick,RB,1750000,HOU
Dreessen,Joel,TE,1200000,HOU
Reed,Brooks,OLB,1175441,HOU
Barwin,Connor,OLB,1002500,HOU
Harris,Brandon,CB,824832,HOU
Studdard,Kasey,G,735000,HOU
Tate,Ben,RB,730500,HOU
Mitchell,Earl,DT,682125,HOU
Jamison,Tim,DE,667000,HOU
Caldwell,Antoine,G,638563,HOU
Sharpton,Darryl,ILB,618735,HOU
Graham,Garrett,TE,592525,HOU
Carmichael,Rashad,CB,590522,HOU
Quin,Glover,S,560063,HOU
Keo,Shiloh,S,558000,HOU
Yates,T.J.,QB,556250,HOU
Demps,Quintin,S,540000,HOU
McManis,Sherrick,CB,533000,HOU
Newton,Derek,RT,525064,HOU
Foster,Arian,RB,525000,HOU
Nading,Jesse,DE,511667,HOU
Casey,James,TE,483750,HOU
Smith,Shelley,G,473518,HOU
Braman,Bryan,OLB,465667,HOU
Maehl,Jeff,WR,465000,HOU
Hartmann,Brett,P,465000,HOU
McCain,Brice,CB,462938,HOU
Maneri,Steve,TE,462500,HOU
Dickerson,Dorin,TE,460791,HOU
Nolan,Troy,S,452065,HOU
Jean,Lestar,WR,441667,HOU
Alexander,Mister,LB,420000,HOU
Manning,Peyton,QB,18000000,IND
Freeney,Dwight,OLB,12000000,IND
Clark,Dallas,TE,6960000,IND
Brackett,Gary,LB,6600000,IND
Wayne,Reggie,WR,6583333,IND
Bethea,Antoine,S,6500000,IND
Mathis,Robert,OLB,5000000,IND
Addai,Joseph,RB,4666667,IND
Saturday,Jeff,C,4433333,IND
Collins,Kerry,QB,4000000,IND
Bullitt,Melvin,S,3500000,IND
Vinatieri,Adam,K,3066667,IND
Brown,Donald,RB,2087000,IND
Castonzo,Anthony,LT,2000274,IND
Johnson,Antonio,DT,2000000,IND
Hughes,Jerry,DE,1950000,IND
Gonzalez,Anthony,WR,1500000,IND
Anderson,Jamaal,DE,1300000,IND
Snow,Justin,TE,1035571,IND
Ijalana,Benjamin,LT,1011374,IND
Moala,Fili,DE,825000,IND
Angerer,Patrick,ILB,822500,IND
Brayton,Tyler,DT,810000,IND
Orlovsky,Dan,QB,685000,IND
Nevis,Drake,DE,658528,IND
Powers,Jerraud,CB,630875,IND
Thomas,Kevin,CB,616368,IND
Carter,Delone,RB,616301,IND
Wheeler,Philip,OLB,587250,IND
Cosby,Quan,WR,570000,IND
Newton,Mike,CB,555000,IND
Collie,Austin,WR,546889,IND
Mathews,Ricardo,DE,540000,IND
Rucker,Chris,CB,535418,IND
Tamme,Jacob,TE,531643,IND
Conner,Kavell,ILB,496310,IND
Eldridge,Brody,TE,488200,IND
Toudouze,Michael,T,480000,IND
DeVan,Kyle,G,480000,IND
Lefeged,Joe,S,467667,IND
Lutrus,Scott,ILB,465000,IND
Mahaffey,Ryan,RB,465000,IND
Addison,Mario,DE,465000,IND
Smith,Andre,TE,465000,IND
Hines,Jermale,S,465000,IND
Holmes,Mike,CB,465000,IND
Painter,Curtis,QB,460250,IND
McAfee,Pat,P,452000,IND
Garcon,Pierre,WR,444150,IND
Richard,Jamey,G,435500,IND
Edds,A.J.,OLB,420000,IND
Johnson,Terrence,CB,415000,IND
Linkenbach,Jeff,G,411667,IND
White,Blair,WR,409000,IND
Thomas,Jaimie,T,405000,IND
Gronkowski,Chris,RB,405000,IND
Caldwell,David,S,405000,IND
King,Brandon,CB,405000,IND
Reitz,Joe,G,405000,IND
Lacey,Jacob,CB,391667,IND
Gill,John,DT,370000,IND
Posluszny,Paul,ILB,7500000,JAX
Lewis,Marcedes,TE,6800000,JAX
Jones-Drew,Maurice,RB,6220000,JAX
Session,Clint,LB,6000000,JAX
Kampman,Aaron,DE,6000000,JAX
Landry,Dawan,S,5500000,JAX
Monroe,Eugene,LT,5250000,JAX
Mathis,Rashean,CB,5100000,JAX
Smith,Daryl,ILB,4723333,JAX
Alualu,Tyson,DE,4379800,JAX
Nwaneri,Uche,G,4183500,JAX
Thomas,Mike,WR,3809000,JAX
Jones,Greg,FB,3480000,JAX
Gabbert,Blaine,QB,3000412,JAX
Roth,Matt,DE,3000000,JAX
Owens,Montell,FB,2600000,JAX
Meester,Brad,C,2500000,JAX
Coleman,Drew,CB,2466667,JAX
Osgood,Kassim,WR,2225000,JAX
Scobee,Josh,K,2000000,JAX
McCown,Luke,QB,1800000,JAX
Spitz,Jason,G,1750000,JAX
Robiskie,Brian,WR,1227688,JAX
Britton,Eben,RT,1145000,JAX
LeFevour,Dan,QB,1050000,JAX
Cain,Jeremy,LS,1000000,JAX
McBath,Darcel,S,962500,JAX
Mosley,C.J.,DT,832500,JAX
Jones,David,CB,745000,JAX
Rackley,Will,G,728569,JAX
Youboty,Ashton,CB,692500,JAX
Brown,Ceandris,CB,685000,JAX
Smith,D'Anthony,DT,673750,JAX
Shorts,Cecil,WR,668037,JAX
Price,Taylor,WR,661145,JAX
Prosinski,Chris,S,660036,JAX
Knighton,Terrance,DT,648465,JAX
Cox,Derek,CB,645750,JAX
Douzable,Leger,DE,600000,JAX
Mincey,Jeremy,DE,592500,JAX
Whimper,Guy,G,590000,JAX
Issac,Roderick,CB,581336,JAX
Trent,Morgan,CB,570000,JAX
Lowery,Dwight,S,542375,JAX
Lane,Austen,DE,531049,JAX
Greene,Courtney,S,525000,JAX
Middleton,William,CB,525000,JAX
Bolen,Brock,RB,525000,JAX
Karim,Deji,RB,498750,JAX
Irvin,Corvey,DT,495000,JAX
Dillard,Jarett,WR,485500,JAX
Norris,Slade,LB,480000,JAX
Underwood,Tiquan,WR,480000,JAX
Williams,Thomas,LB,470000,JAX
Williams,Trae,CB,468176,JAX
Bradfield,Cameron,RT,466667,JAX
Rutland,Kevin,CB,466667,JAX
Miller,Zach,TE,465125,JAX
Murphy,Richard,RB,465000,JAX
Potter,Zach,TE,450000,JAX
Jennings,Rashad,RB,447113,JAX
Harris,DuJuan,RB,420000,JAX
West,Chastin,WR,420000,JAX
Chick,John,DT,420000,JAX
Cloherty,Colin,TE,420000,JAX
Haslam,Kevin,T,410833,JAX
Estes,John,C,410000,JAX
Bosworth,Kyle,OLB,409167,JAX
Morgan,Aaron,DE,405000,JAX
Allen,Russell,OLB,400000,JAX
Johnson,Chris,RB,13493750,TEN
Roos,Michael,LT,7166667,TEN
Hasselbeck,Matt,QB,6666667,TEN
Stewart,David,RT,5269000,TEN
Amano,Eugene,C,5249400,TEN
Hope,Chris,S,5097502,TEN
Scott,Jake,G,4875000,TEN
Washington,Nate,WR,4466667,TEN
Finnegan,Cortland,CB,4200000,TEN
Haye,Jovan,DT,4050000,TEN
Ruud,Barrett,LB,4000000,TEN
Witherspoon,Will,OLB,3666667,TEN
Locker,Jake,QB,3146501,TEN
Harris,Leroy,C,3100000,TEN
Morgan,Derrick,OLB,3079002,TEN
Bironas,Rob,K,3000000,TEN
Graham,Daniel,TE,2833333,TEN
